id,user,uid,version,changeset,timestamp
11932903,historicalYas,7532068,6,62792070,2018-09-21T10:36:23Z
11933002,Speedy55,3775202,3,43018332,2016-10-19T20:01:46Z
11933089,historicalYas,7532068,4,62794026,2018-09-21T11:42:23Z
11933165,historicalYas,7532068,6,62791537,2018-09-21T10:21:02Z
11933445,historicalYas,7532068,5,62791537,2018-09-21T10:21:02Z
11933879,GO_OSM,282860,6,32907859,2015-07-27T11:35:17Z
11934088,historicalYas,7532068,12,62791537,2018-09-21T10:21:02Z
11934101,historicalYas,7532068,5,62794026,2018-09-21T11:42:23Z
11934547,GO_OSM,282860,3,32861417,2015-07-24T21:46:14Z
11934774,GO_OSM,282860,2,32861417,2015-07-24T21:46:15Z
11935035,GO_OSM,282860,2,32861417,2015-07-24T21:46:14Z
11935205,GO_OSM,282860,4,32861417,2015-07-24T21:46:15Z
11935331,GO_OSM,282860,4,32861417,2015-07-24T21:46:14Z
11935484,historicalYas,7532068,5,62794026,2018-09-21T11:42:23Z
11935603,historicalYas,7532068,7,62794026,2018-09-21T11:42:23Z
11936109,Enock4seth,1803854,7,58535887,2018-04-29T19:27:56Z
11936521,Enock4seth,1803854,11,90770422,2020-09-11T17:14:20Z
11936576,Enock4seth,1803854,5,91100081,2020-09-18T09:15:27Z
11936782,Sammyhawkrad,6406545,11,63928095,2018-10-27T13:21:58Z
11936804,Sammyhawkrad,6406545,9,98707029,2021-02-04T12:57:28Z
11936870,historicalYas,7532068,16,62948266,2018-09-26T14:21:19Z
11936947,historicalYas,7532068,5,62948266,2018-09-26T14:21:19Z
11937470,Hana0,12116432,5,94980114,2020-11-29T11:35:49Z
11937509,historicalYas,7532068,4,62794026,2018-09-21T11:42:23Z
11937937,yeshja,8794061,6,63815457,2018-10-24T02:32:07Z
11946790,Speedy55,3775202,7,43019770,2016-10-19T21:02:50Z
11951674,macabe5387,2698880,5,54535021,2017-12-11T10:09:02Z
11966387,movie_fan_sal,8484034,10,63817820,2018-10-24T05:20:22Z
11966441,ahab003,4497723,7,43040159,2016-10-20T17:35:30Z
11966455,yusha5,7918503,19,63828969,2018-10-24T11:35:44Z
11966480,ahab003,4497723,5,43040159,2016-10-20T17:35:29Z
12150639,Enock4seth,1803854,7,68106137,2019-03-13T16:32:43Z
12209187,mfbehrens99,9645335,16,98439919,2021-01-31T09:12:55Z
12209597,Daern,6752607,11,54520017,2017-12-10T19:26:40Z
12209625,historicalYas,7532068,8,62947683,2018-09-26T13:59:18Z
12209698,MaillotJaune,8794053,7,63795965,2018-10-23T13:21:53Z
12210585,Subramanyam Naidu,8782063,25,67299009,2019-02-18T03:07:01Z
12210974,Enock4seth,1803854,6,66472561,2019-01-20T11:17:01Z
12211077,Sammyhawkrad,6406545,10,76067957,2019-10-22T20:22:31Z
12211664,Enock4seth,1803854,19,68234339,2019-03-17T17:31:08Z
12211758,Enock4seth,1803854,8,69723590,2019-04-30T08:20:05Z
12212653,ahab003,4497723,8,42907645,2016-10-14T22:06:09Z
12212678,banglequeen,7629859,7,63963494,2018-10-29T01:37:16Z
12215396,ahab003,4497723,4,43041943,2016-10-20T19:13:23Z
12216095,yaya_B,8484081,8,62123527,2018-08-30T01:32:30Z
12216239,ahab003,4497723,9,43042062,2016-10-20T19:17:18Z
12216270,yaya_B,8484081,7,62123527,2018-08-30T01:32:30Z
12216472,yaya_B,8484081,8,62233279,2018-09-03T02:24:30Z
12216655,yaya_B,8484081,11,62124375,2018-08-30T02:49:53Z
12216739,yaya_B,8484081,13,62125635,2018-08-30T04:11:29Z
12216814,Speedy55,3775202,6,43019821,2016-10-19T21:05:00Z
12216862,DoodleBob,4339485,3,43145621,2016-10-24T23:17:09Z
12216873,GO_OSM,282860,4,25182740,2014-09-02T14:01:42Z
12216921,GO_OSM,282860,4,19847286,2014-01-06T16:49:55Z
12217015,fussher,3397103,6,35418321,2015-11-18T20:07:26Z
12217054,fussher,3397103,5,35418321,2015-11-18T20:07:26Z
12217375,Enock4seth,1803854,8,78845238,2019-12-25T11:54:36Z
12217575,yusha5,7918503,12,63828969,2018-10-24T11:35:44Z
12217672,yusha5,7918503,7,63828969,2018-10-24T11:35:44Z
12217687,DoodleBob,4339485,6,43145621,2016-10-24T23:17:06Z
